epoch,stage,unit_loss,alloc_loss,val_f1,val_precision,val_recall,val_unit_accuracy,val_positive_unit_accuracy,val_unit_mae,val_false_positive_rate,val_threshold,best_f1,best_epoch,no_improvement_evals,epoch_seconds,elapsed_minutes,estimated_remaining_minutes,train_rows_fit,validation_rows
1,sklearn_mlp,0.8283535491787166,0.0884500497119946,0.4749604638903532,0.8176043557168784,0.33469539375928675,0.6689014956162971,0.12072808320950966,1.5608561113976276,0.039691943127962086,0.05,0.4749604638903532,1,0,23.541820287704468,0.3923637350400289,23.149460367361705,180497,15512
2,sklearn_mlp,0.036798716953164966,0.008477050715240167,0.3168680226334302,0.896969696969697,0.1924219910846954,0.6751547189272821,0.0861812778603269,1.5932181536874677,0.011749605055292258,0.05,0.4749604638903532,1,1,23.066443920135498,0.790155565738678,22.91451140642166,180497,15512
3,sklearn_mlp,0.01946075008306483,0.0050385398052342914,0.33202416918429006,0.88915857605178,0.20412332838038633,0.6748323878287777,0.08859583952451709,1.6154589994842703,0.013526856240126383,0.05,0.4749604638903532,1,2,22.837610960006714,1.1840450644493103,22.496856224536895,180497,15512
4,sklearn_mlp,0.014033206391164408,0.0037701311523013954,0.37257175993041464,0.8487450462351387,0.2386701337295691,0.6710933470861269,0.09491084695393759,1.6220345538937597,0.022610584518167456,0.1,0.4749604638903532,1,3,23.269917964935303,1.585764181613922,22.20069854259491,180497,15512
5,sklearn_mlp,0.011377873844520445,0.00289841385729843,0.394819242812411,0.8447015834348356,0.2576151560178306,0.6716735430634347,0.10141158989598811,1.620293965961836,0.025177725118483412,0.05,0.4749604638903532,1,4,24.51811194419861,2.0075823148091634,22.083405462900796,180497,15512
6,sklearn_mlp,0.009147582777835306,0.002196333494778828,0.4011291460832745,0.8353909465020576,0.2639301634472511,0.6693527591542032,0.09936849925705794,1.635379061371841,0.02764612954186414,0.1,0.4749604638903532,1,5,25.0935480594635,2.440747698148092,21.966729283332825,180497,15512
7,sklearn_mlp,0.009083375635170398,0.0022002245446667984,0.3214124038026256,0.8567980691874497,0.19780832095096582,0.6698040226921094,0.08172362555720654,1.6253223310985043,0.017575039494470774,0.05,0.4749604638903532,1,6,23.813264846801758,2.851028295358022,21.586357093425022,180497,15512
8,sklearn_mlp,0.007770649402118259,0.001976090819280539,0.33761194029850744,0.8594224924012158,0.2100668647845468,0.6716735430634347,0.08841010401188708,1.6164259927797835,0.018266192733017377,0.1,0.4749604638903532,1,7,23.422083139419556,3.2541151642799377,21.151748567819595,180497,15512
9,sklearn_mlp,0.005676823640230307,0.002412457623230738,0.3450413223140496,0.8397988505747126,0.21712481426448738,0.6681923671995874,0.08543833580980684,1.6329938112429088,0.022018167456556083,0.05,0.4749604638903532,1,8,24.468318223953247,3.6762735843658447,20.83221697807312,180497,15512
10,sklearn_mlp,0.00460140099182894,0.0014255436339839812,0.49310949636682533,0.7575057736720554,0.3655274888558692,0.646982980917999,0.099925705794948,1.586320268179474,0.06220379146919431,0.05,0.49310949636682533,10,0,26.679248809814453,4.134603997071584,20.67301998535792,180497,15512
11,sklearn_mlp,0.00519622926911111,0.001529112801687591,0.3883550838950237,0.8521082441787288,0.2514858841010401,0.6698684889118102,0.0924962852897474,1.588898916967509,0.02320300157977883,0.05,0.49310949636682533,10,1,29.112380027770996,4.632814979553222,20.6370849089189,180497,15512
12,sklearn_mlp,0.004513060025548663,0.0018079834262624253,0.4283534470800388,0.846027397260274,0.2867756315007429,0.6723826714801444,0.10828380386329867,1.6170706549767921,0.027744865718799368,0.05,0.49310949636682533,10,2,29.539788961410522,5.138171315193176,20.552685260772705,180497,15512
13,sklearn_mlp,0.004375779699085218,0.0014207659041213193,0.392272983643542,0.8144028103044496,0.2583580980683507,0.6602630221763796,0.0800520059435364,1.6052733367715317,0.031299368088467616,0.05,0.49310949636682533,10,3,29.6078679561615,5.644990849494934,20.408813071250915,180497,15512
14,sklearn_mlp,0.004731951960916228,0.0009440338943570959,0.26590873203852833,0.8872497365648051,0.1563893016344725,0.6710933470861269,0.07225111441307577,1.6210030943785456,0.01056477093206951,0.05,0.49310949636682533,10,4,30.391919136047363,6.16481484969457,20.25582022042501,180497,15512
15,sklearn_mlp,0.0029448724428074286,0.0011553147306210831,0.26493424180003167,0.9018338727076591,0.15527488855869243,0.6693527591542032,0.06426448736998513,1.6230660134089736,0.008984992101105845,0.1,0.49310949636682533,10,5,31.768296003341675,6.708832649389903,20.126497948169707,180497,15512
16,sklearn_mlp,0.002600278957083468,0.0007770275652542452,0.28491271820448877,0.8856589147286822,0.1697622585438336,0.6701908200103146,0.07169390787518573,1.6096570397111913,0.01165086887835703,0.05,0.49310949636682533,10,6,31.60641622543335,7.249520667394003,19.936181835333507,180497,15512
17,sklearn_mlp,0.0027196659193168575,0.0012549535252417009,0.33423261390887293,0.8656832298136646,0.20709509658246658,0.6694816915936049,0.07986627043090638,1.5959902011346054,0.01708135860979463,0.05,0.49310949636682533,10,7,31.09618091583252,7.782127662499746,19.684205263969943,180497,15512
18,sklearn_mlp,0.0038205669308230216,0.00146458965334063,0.3790219702338766,0.8001196888090963,0.24832838038632987,0.662132542547705,0.08859583952451709,1.5961191335740073,0.03297788309636651,0.05,0.49310949636682533,10,8,31.498066186904907,8.32058398326238,19.41469596094555,180497,15512
19,sklearn_mlp,0.0032104475116502937,0.0008607835271169764,0.30676552363299353,0.9110091743119266,0.18443536404160477,0.6739298607529655,0.07856612184249628,1.5937338834450747,0.00957740916271722,0.05,0.49310949636682533,10,9,30.758307933807373,8.846910218397776,19.090700997595203,180497,15512
20,sklearn_mlp,0.002405943597627121,0.0007126744539149748,0.534984520123839,0.802675585284281,0.4011887072808321,0.6545899948427024,0.10345468053491827,1.5380350696235172,0.052428909952606635,0.05,0.534984520123839,20,0,31.57700514793396,9.386619265874227,18.773238531748454,180497,15512
21,sklearn_mlp,0.0018399821243497675,0.0007813913776933992,0.47279499800452307,0.8330989217065167,0.3300520059435364,0.6629706034038164,0.0950965824665676,1.5560856111397627,0.03515007898894155,0.05,0.534984520123839,20,1,32.49799990653992,9.942267080148062,18.46421029170354,180497,15512
22,sklearn_mlp,0.0019516988450511185,0.001020000602077803,0.4629353570944572,0.856140350877193,0.31723625557206536,0.6692238267148014,0.10029717682020803,1.5585997937080969,0.02833728278041074,0.05,0.534984520123839,20,2,63.913811922073364,11.021458327770233,19.037064384330403,180497,15512
23,sklearn_mlp,0.001405224967715687,0.0011247055072572268,0.5066073531335863,0.8570163789287295,0.35958395245170877,0.668965961835998,0.1062407132243685,1.543965961835998,0.03189178515007899,0.05,0.534984520123839,20,3,66.40040588378906,12.153778696060181,19.551730945835946,180497,15512
24,sklearn_mlp,0.002960728608158179,0.0006138826434681909,0.5308128544423439,0.8255586044688358,0.3911589895988113,0.6623904074265085,0.1099554234769688,1.5445461578133057,0.04393759873617693,0.05,0.534984520123839,20,4,68.71139001846313,13.327166279157003,19.990749418735504,180497,15512
25,sklearn_mlp,0.002508069061767891,0.001122161936515624,0.5597939408806575,0.8241242325749368,0.4238484398216939,0.6602630221763796,0.11162704309063894,1.532942238267148,0.048084518167456555,0.05,0.5597939408806575,25,0,68.40608811378479,14.493085265159607,20.29031937122345,180497,15512
26,sklearn_mlp,0.0024187660679324766,0.00107286451045415,0.36134330547001026,0.8585365853658536,0.2288261515601783,0.6678055698813822,0.08060921248142645,1.59412068076328,0.0200434439178515,0.05,0.5597939408806575,25,1,74.59587407112122,15.773276563485464,20.626592429173296,180497,15512
27,sklearn_mlp,0.0014048332665554137,0.00024420292457463203,0.27792742829979405,0.9460625674217907,0.16289004457652304,0.6751547189272821,0.07336552748885587,1.6101727694687984,0.0049368088467614535,0.05,0.5597939408806575,25,2,67.78716206550598,16.927623800436656,20.689317978311465,180497,15512
28,sklearn_mlp,0.0014807355896950206,0.00018609484435762463,0.6684534445106213,0.7179104477611941,0.62537147102526,0.6170706549767921,0.1424591381872214,1.556472408457968,0.13062796208530805,0.05,0.6684534445106213,28,0,70.0074417591095,18.122125363349916,20.711000415257047,180497,15512
29,sklearn_mlp,0.0025964952075882937,0.00017374074955577652,0.4627916609139859,0.9015599784830554,0.3112927191679049,0.6778623001547189,0.10586924219910847,1.5734914904589994,0.01806872037914692,0.05,0.6684534445106213,28,1,68.71638894081116,19.293932998180388,20.624549067020418,180497,15512
30,sklearn_mlp,0.0022806809048089498,0.00016613984534391056,0.5356770833333333,0.8959059233449478,0.38205794947994054,0.6779912325941206,0.11664190193164933,1.5573104693140793,0.023597946287519746,0.05,0.6684534445106213,28,2,70.04309296607971,20.486486915747324,20.486486915747324,180497,15512
31,sklearn_mlp,0.001616128370200619,0.00015926148321100875,0.5352004110996917,0.8679166666666667,0.38688707280832096,0.674187725631769,0.12017087667161962,1.5473182052604435,0.031299368088467616,0.05,0.6684534445106213,28,3,69.15208506584167,21.66429711182912,20.26660052396918,180497,15512
32,sklearn_mlp,0.0017779009550609047,0.00015295398622178292,0.34799697656840517,0.9350121852152722,0.2137815750371471,0.6755415162454874,0.0800520059435364,1.600438370293966,0.007898894154818325,0.05,0.6684534445106213,28,4,71.27602291107178,22.88188925186793,20.02165309538444,180497,15512
33,sklearn_mlp,0.001653077486508025,0.00014695001229898217,0.2831078955646429,0.9240246406570842,0.16716196136701336,0.6735430634347602,0.07317979197622586,1.597730789066529,0.007306477093206951,0.05,0.6684534445106213,28,5,69.72546982765198,24.068425830205282,19.692348406531597,180497,15512
34,sklearn_mlp,0.0009114265089378378,0.00014108351295920776,0.4684610075914424,0.9118753358409457,0.3151931649331352,0.6791516245487365,0.10605497771173848,1.556472408457968,0.016192733017377565,0.05,0.6684534445106213,28,6,38.360276222229004,24.73399838209152,18.914234056893516,180497,15512
35,sklearn_mlp,0.0016593600520697516,0.000135215216809492,0.5296422042308697,0.8918205804749341,0.37667161961367013,0.6748968540484785,0.10902674591381872,1.562209902011346,0.02428909952606635,0.05,0.6684534445106213,28,7,33.65192794799805,25.307965699831644,18.077118357022602,180497,15512
36,sklearn_mlp,0.0023713997180870995,0.0001293260057823262,0.42286036036036034,0.8732558139534884,0.2789747399702823,0.6649690562145436,0.07522288261515601,1.575232078390923,0.021524486571879938,0.05,0.6684534445106213,28,8,33.787535190582275,25.884756565093994,17.25650437672933,180497,15512
37,sklearn_mlp,0.0012783922783733807,0.00012331758241723137,0.3047796399751707,0.9264150943396227,0.18239227340267458,0.6738653945332646,0.07485141158989599,1.5820010314595152,0.007701421800947867,0.05,0.6684534445106213,28,9,33.167834997177124,26.450404600302377,16.442143400187966,180497,15512
38,sklearn_mlp,0.001354573140442741,0.00011727964114237815,0.5533700498295305,0.9411239964317574,0.39190193164933135,0.6857271789582259,0.11905646359583952,1.5095410005157297,0.013033175355450236,0.05,0.6684534445106213,28,10,33.51070594787598,27.022545699278513,15.644631720634928,180497,15512
39,sklearn_mlp,0.0015387308815229149,0.00011108835703186407,0.5720169906036813,0.9316561844863732,0.412704309063893,0.6840510572460031,0.1199851411589896,1.4889118102114491,0.016093996840442337,0.05,0.6684534445106213,28,11,33.75137186050415,27.598256901899973,14.860599870253832,180497,15512
40,sklearn_mlp,0.001736599582233396,0.0045399499332623855,0.4149484536082474,0.905625,0.2691307578008915,0.6723182052604435,0.08395245170876671,1.5532490974729243,0.01490916271721959,0.05,0.6684534445106213,28,12,32.96136116981506,28.160732964674633,14.080366482337316,180497,15512
41,sklearn_mlp,0.002183069762285869,0.0005321123261646195,0.435609825358512,0.9246534056660639,0.2849182763744428,0.6740587931923672,0.08413818722139674,1.5424832387828777,0.012342022116903634,0.05,0.6684534445106213,28,13,34.072001934051514,28.74340393145879,13.32011401701749,180497,15512
42,sklearn_mlp,0.0011653900840724466,0.00014499119777485823,0.4059563394535204,0.9158512720156555,0.2607726597325409,0.6728984012377515,0.08153789004457652,1.5551830840639504,0.01273696682464455,0.05,0.6684534445106213,28,14,33.694217920303345,29.318329664071403,12.564998427459171,180497,15512
43,sklearn_mlp,0.0005723306780587122,0.0002080875748577953,0.4118070554355652,0.9160794362588085,0.26560178306092125,0.6742521918514698,0.08580980683506687,1.5578261990716864,0.012934439178515007,0.05,0.6684534445106213,28,15,34.84023594856262,29.912848563989005,11.826009897391002,180497,15512
44,sklearn_mlp,0.0009186073477362737,0.00013734767074968522,0.46952472264073414,0.8941053729786124,0.31835066864784545,0.668965961835998,0.08395245170876671,1.5455776173285198,0.0200434439178515,0.05,0.6684534445106213,28,16,35.36945199966431,30.517568945884705,11.097297798503527,180497,15512
45,sklearn_mlp,0.0028773659690918903,0.00012677990527810087,0.5631270358306188,0.9432562199912702,0.4013744427934621,0.6806343476018566,0.10401188707280833,1.5045771015987623,0.012835703001579778,0.05,0.6684534445106213,28,17,34.529847860336304,31.10774253209432,10.369247510698106,180497,15512
46,sklearn_mlp,0.0016995324493048803,0.00011613651614888268,0.4528091454063851,0.907769703745109,0.3016344725111441,0.6771531717380093,0.10048291233283804,1.5435791645177928,0.016291469194312798,0.05,0.6684534445106213,28,18,34.950095891952515,31.703867812951405,9.649003247419992,180497,15512
47,sklearn_mlp,0.0009462911472165839,0.00011135521006375057,0.49473252154877545,0.9392207792207792,0.33580980683506684,0.6832129963898917,0.10902674591381872,1.5204357916451778,0.0115521327014218,0.05,0.6684534445106213,28,19,34.993489027023315,32.300471615791324,8.93417300011249,180497,15512
48,sklearn_mlp,0.0010503172704147325,0.00010869810379162342,0.5678981212961796,0.8841774636827641,0.4182763744427935,0.6761861784424962,0.12184249628528974,1.5085095410005158,0.029127172195892576,0.05,0.6684534445106213,28,20,34.980984687805176,32.89711488087972,8.22427872021993,180497,15512
49,sklearn_mlp,0.004089338291087584,0.00010620400569520883,0.31191246725227306,0.9158371040723982,0.18796433878157504,0.6748323878287777,0.08042347696879644,1.580518308406395,0.009182464454976303,0.05,0.6684534445106213,28,21,34.67426609992981,33.48902251720428,7.517943830392799,180497,15512
50,sklearn_mlp,0.0010081081231590175,0.00010367381257297796,0.30843000773395207,0.9222941720629048,0.18517830609212482,0.6748968540484785,0.07893759286775631,1.5801959773078906,0.008293838862559242,0.05,0.6684534445106213,28,22,34.62221813201904,34.07906813224157,6.815813626448313,180497,15512
51,sklearn_mlp,0.0005253529727471547,0.001473026200604434,0.3130300693909021,0.92188919164396,0.18852154531946508,0.6738653945332646,0.07633729569093611,1.5846441464672512,0.0084913112164297,0.05,0.6684534445106213,28,23,57.78760385513306,35.0550518155098,6.186185614501729,180497,15512
52,sklearn_mlp,0.0005614139365374875,0.0025574050554463064,0.32242275925359437,0.9133448873483535,0.19576523031203566,0.6745100567302733,0.08079494799405647,1.5830324909747293,0.009873617693522907,0.05,0.6684534445106213,28,24,74.15460300445557,36.31695378224055,5.587223658806239,180497,15512
53,sklearn_mlp,0.0005585658441099822,0.0005879658205488995,0.3262064752596212,0.9175257731958762,0.19836552748885586,0.6739943269726664,0.07856612184249628,1.587867457452295,0.009478672985781991,0.05,0.6684534445106213,28,25,73.23365187644958,37.56296499570211,4.961146320187071,180497,15512
